"id"	"abnormal"	"var_1"	"var_2"	"var_3"	"var_4"	"var_5"	"var_6"	"var_7"	"var_8"
1540	"no"	0	0	0	"empty"	0	"mid"	"low"	"low"
1541	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
1542	"no"	0	0	1	"full"	0	"mid"	"low"	"high"
1543	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1544	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
1545	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1546	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1547	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1548	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1549	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
1550	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1551	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1552	"no"	0	0	0	"empty"	0	"mid"	"low"	"low"
1553	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1554	"no"	0	0	1	"empty"	0	"low"	"low"	"low"
1555	"no"	0	0	0	"empty"	0	"mid"	"low"	"mid"
1556	"no"	0	0	1	"full"	1	"mid"	"low"	"low"
1557	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1558	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1559	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1560	"no"	0	0	1	"partial"	0	"mid"	"low"	"mid"
1561	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1562	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1563	"no"	0	0	0	"empty"	1	"low"	"low"	"low"
1564	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
1565	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1566	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1567	"no"	0	0	1	"empty"	0	"mid"	"low"	"mid"
1568	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
1569	"no"	0	0	1	"full"	0	"mid"	"low"	"mid"
1570	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
1571	"no"	0	0	0	"empty"	0	"mid"	"low"	"low"
1572	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1573	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1574	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
1575	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1576	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1577	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1578	"no"	0	0	1	"full"	0	"low"	"low"	"mid"
1579	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
1580	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1581	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1582	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1583	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1584	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1585	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1586	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1587	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1588	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1589	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1590	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1591	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1592	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1593	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1594	"no"	0	0	1	"empty"	0	"low"	"low"	"low"
1595	"no"	0	0	0	"empty"	0	"mid"	"low"	"low"
1596	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1597	"no"	0	0	1	"empty"	1	"high"	"high"	"low"
1598	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1599	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1600	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1601	"no"	0	0	0	"full"	0	"high"	"high"	"high"
1602	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1603	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1604	"no"	0	0	1	"empty"	0	"mid"	"low"	"mid"
1605	"no"	0	0	1	"full"	0	"mid"	"low"	"mid"
1606	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1607	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1608	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
1609	"no"	0	0	1	"full"	0	"low"	"low"	"mid"
1610	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1611	"no"	1	0	1	"empty"	0	"low"	"low"	"mid"
1612	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1613	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1614	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
1615	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
1616	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1617	"no"	0	0	0	"empty"	0	"mid"	"low"	"low"
1618	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
1619	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1620	"no"	0	0	1	"empty"	0	"mid"	"low"	"mid"
1621	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
1622	"no"	0	0	0	"partial"	0	"mid"	"low"	"high"
1623	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
1624	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
1625	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
1626	"no"	0	0	0	"full"	0	"mid"	"low"	"high"
1627	"no"	0	0	0	"empty"	1	"low"	"low"	"low"
1628	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
